,0,1,125,250,375,500,625,750,875,1000,1125
D28_y,389.242,384.13,383.617,383.224,382.941,382.331,381.722,381.722,381.722,381.722,381.722
D29_x,156.158,155.045,145.488,144.575,145.611,146.587,142.079,136.402,136.361,129.735,127.867
D29_y,224.731,220.612,215.952,211.803,211.961,212.608,216.164,203.502,208.812,191.226,186.278
D30_x,173.604,186.958,189.87,189.87,189.87,189.87,189.87,189.87,189.87,189.87,189.87
D30_y,478.573,472.621,473.222,473.222,473.222,473.222,473.222,473.222,473.222,473.222,473.222
D31_x,266.383,266.383,266.383,266.383,266.383,264.976,263.287,261.396,258.901,258.703,257.087
D31_y,443.576,443.576,443.576,443.576,443.576,446.189,449.313,452.833,456.822,461.931,466.901
D32_x,54.7285,54.2058,58.0625,62.8774,67.5958,76.5068,73.0911,75.9404,78.3989,82.3104,82.8756
D32_y,248.454,249.29,249.434,248.071,245.986,244.547,238.928,241.54,237.323,238.06,242.659
D33_x,399.222,399.562,395.343,394.642,394.538,394.538,394.538,394.538,394.538,394.538,394.538
D33_y,155.359,154.595,159.004,158.405,158.329,158.329,158.329,158.329,158.329,158.329,158.329
D34_x,41.5844,41.2917,41.1244,41.1244,41.1244,41.1244,41.1244,39.0384,36.5623,34.2346,33.9995
D34_y,99.6027,102.698,104.149,104.149,104.149,104.149,104.149,104.558,104.356,103.45,103.339
D35_x,34.2301,34.2301,34.2301,34.2301,34.2301,34.2301,34.2301,32.7035,30.1794,27.6968,26.5314
D35_y,118.847,118.847,118.847,118.847,118.847,118.847,118.847,119.749,120.283,120.055,119.465
D36_x,90.9608,90.9761,91.6613,91.6613,91.104,88.6231,86.4927,84.7809,83.0296,81.6743,79.8543
D36_y,116.687,115.767,114.792,114.792,114.58,114.862,116.12,117.941,115.91,113.934,112.22
D37_x,376.871,377.853,378.219,378.219,378.219,378.219,378.219,378.219,378.219,378.219,378.219
D37_y,46.8719,47.2109,41.8435,41.8435,41.8435,41.8435,41.8435,41.8435,41.8435,41.8437,41.8437
D38_x,173.068,173.068,172.332,171.02,170.494,172.198,174.669,177.154,177.453,177.453,179.088
