,0,1,166,332,498,664,830,996,1162,1328,1494,1660,1826,1992
D16_x,277.939,277.998,285.591,298.262,306.218,306.71,304.304,307.49,317.888,326.38,332.185,334.233,341.777,345.36
D16_y,322.985,323.019,323.139,325.4,330.682,327.657,327.48,332.705,330.139,332.995,337.922,332.361,331.121,330.776
D17_x,493.898,493.919,493.174,490.669,490.182,487.464,486.085,481.737,477.969,473.41,467.666,465.138,458.522,450.612
D17_y,330.528,330.569,350.658,352.097,344.942,341.513,343.63,342.994,342.8,340.208,340.641,350.569,351.189,352.708
D18_x,246.663,253.351,256.803,260.409,259.874,258.63,272.515,282.232,286.722,292.211,298.461,303.187,300.427,300.408
D18_y,261.574,260.04,249.54,243.835,238.361,225.01,186.848,189.66,181.697,191.024,198.828,200.172,206.747,204.722
D19_x,428.027,428.091,436.222,438.864,447.442,455.916,459.827,464.496,465.406,467.201,469.984,476.402,481.385,484.74
D19_y,448.714,448.709,454.122,455.048,452.621,451.007,446.197,440.685,437.197,430.54,422.381,417.0,412.247,408.233
D20_x,86.6228,86.3308,81.0886,74.0853,73.1071,67.3971,62.7287,56.9221,51.4321,47.1886,45.3935,40.993,34.2789,33.3382
D20_y,83.3354,80.8241,78.6345,77.6808,76.6354,78.2929,78.3613,76.1435,73.8908,74.068,82.8118,86.4073,87.6098,92.2933
D21_x,404.523,404.523,407.268,420.035,423.197,426.472,430.679,430.823,423.646,413.642,409.327,408.805,412.28,416.302
D21_y,310.949,310.439,302.589,302.63,298.689,294.376,296.356,296.488,298.5,298.355,301.99,299.418,299.793,299.244
D22_x,430.536,430.526,427.781,428.179,436.527,441.445,444.919,449.029,446.421,443.211,446.222,441.829,442.073,433.526
D22_y,242.315,242.387,242.337,234.816,234.682,234.722,235.918,240.254,242.635,243.214,248.943,254.899,264.623,266.61
D23_x,383.911,382.488,384.803,390.09,393.513,394.892,398.264,394.707,393.908,395.934,395.247,396.932,400.256,403.304
D23_y,33.7116,35.7694,42.285,45.2618,47.3526,46.6808,52.4095,54.0521,50.3286,49.7635,50.6518,50.069,46.6702,45.6962
D24_x,216.85,219.402,204.333,224.382,224.075,216.506,218.356,215.665,211.208,205.289,203.481,194.978,188.549,182.109
D24_y,384.552,382.522,377.08,396.691,397.85,392.192,382.546,380.895,389.988,392.577,395.995,394.655,397.983,403.729
D25_x,185.702,184.298,178.472,166.989,159.887,158.75,159.829,130.521,120.139,116.772,115.774,110.189,106.346,101.862
D25_y,192.592,192.299,182.252,179.464,185.738,191.193,200.786,183.336,165.144,195.817,191.725,196.892,196.16,191.46
D26_x,92.8537,92.8227,93.3465,99.1287,97.2822,89.9612,88.9138,76.6422,74.9432,74.2803,72.8758,68.9825,66.4706,68.7831
D26_y,197.447,197.413,195.36,197.755,197.632,203.114,206.897,210.647,212.359,212.079,210.73,215.991,222.346,223.705
D27_x,73.7373,73.8006,75.938,79.7982,85.4909,94.8857,99.4773,103.155,105.21,107.369,106.838,107.047,116.924,117.944
D27_y,429.059,428.98,425.763,416.931,412.241,414.409,407.048,399.957,394.31,392.546,391.989,389.517,389.084,382.823
D28_x,318.629,318.668,328.474,325.253,318.863,312.747,305.426,294.317,289.479,281.452,279.72,274.585,272.535,272.139
D28_y,345.115,345.111,349.434,351.433,346.185,334.29,337.177,334.666,325.998,321.358,313.619,312.115,308.499,299.464
D29_x,186.367,192.017,193.056,192.155,195.782,214.991,252.908,264.959,263.693,270.743,267.63,265.718,267.781,274.819
D29_y,238.225,235.966,244.03,236.174,236.222,238.218,215.196,196.774,182.979,194.658,190.258,190.737,187.512,188.419
D30_x,38.9197,38.8956,44.5387,42.401,36.6116,25.9144,22.0853,24.0519,15.7209,23.8408,23.183,22.4404,32.9744,31.455
D30_y,319.511,319.622,312.85,302.993,297.126,287.272,276.241,280.628,282.53,288.696,288.929,282.941,278.056,284.081
D31_x,381.829,379.689,379.274,377.627,381.346,390.287,389.037,383.292,380.314,381.519,382.525,381.233,380.731,380.032
