full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.86,2903,2903,2903,2903,156.903,465.872,151.084,471.086,150.218,471.201,150.67,469.933,0.873,0.838,0.868,0.856,0.86,0.853,0,0,0,0
0.86,4525,4525,4525,4525,479.99,118.98,476.594,119.835,475.673,120.036,475.673,120.036,0.838,0.866,0.876,0.852,0.86,0.871,0,0,0,0
0.86,811,811,811,811,424.329,14.149,422.541,15.034,421.785,14.546,420.853,14.59,0.961,0.799,0.819,0.88,0.86,0.809,0,0,0,0
0.859,4814,4814,4814,4814,201.372,350.987,198.969,349.207,200.649,347.224,193.365,339.486,0.855,0.881,0.84,0.868,0.859,0.861,2,2,2,2
0.859,2682,2682,2682,2682,19.472,213.098,23.821,211.511,23.853,211.53,24.442,211.602,0.84,0.905,0.832,0.873,0.859,0.869,0,0,0,0
0.859,3660,3660,3660,3660,82.142,205.22,69.096,199.995,60.536,194.627,62.415,192.091,0.842,0.853,0.88,0.848,0.859,0.867,0,0,0,0
0.859,2519,2519,2519,2519,242.013,24.318,242.013,24.318,242.013,24.318,238.141,23.672,0.9,0.863,0.813,0.882,0.859,0.838,0,0,0,0
0.858,1022,1022,1022,1022,421.146,312.374,419.456,320.674,422.481,320.141,422.461,320.055,0.915,0.826,0.834,0.87,0.858,0.83,0,0,0,0
0.858,4350,4350,4350,4350,290.957,406.25,293.836,403.26,294.139,399.659,287.63,400.904,0.851,0.871,0.852,0.861,0.858,0.862,0,0,0,0
0.858,4128,4128,4128,4128,82.272,417.829,82.272,417.829,80.938,417.639,81.166,417.677,0.882,0.855,0.838,0.868,0.858,0.846,1,1,1,1
0.857,2346,2346,2346,2346,423.118,441.265,423.118,441.265,423.118,441.265,423.118,441.265,0.869,0.803,0.9,0.836,0.857,0.852,1,1,1,1
0.857,1529,1529,1529,1529,402.904,475.414,402.904,475.414,402.904,475.414,402.904,475.414,0.802,0.833,0.936,0.818,0.857,0.885,0,0,0,0
0.857,2997,2997,2997,2997,435.111,489.308,435.111,489.308,435.111,489.308,435.111,489.308,0.907,0.765,0.898,0.836,0.857,0.831,0,0,0,0
0.856,1671,1671,1671,1671,72.994,394.82,73.672,394.396,74.911,391.951,76.461,393.485,0.823,0.84,0.905,0.832,0.856,0.873,0,0,0,0
0.856,3833,3833,3833,3833,382.333,336.825,380.817,337.468,378.972,339.728,387.471,349.723,0.854,0.901,0.814,0.877,0.856,0.858,0,0,0,0
0.856,1303,1303,1303,1303,254.875,446.203,255.77,445.068,256.386,444.835,256.237,441.943,0.913,0.945,0.71,0.929,0.856,0.827,2,2,2,2
0.855,1608,1608,1608,1608,14.306,131.463,14.306,131.463,13.846,130.268,13.28,130.257,0.921,0.864,0.78,0.893,0.855,0.822,0,0,0,0
0.855,2502,2502,2502,2502,354.677,390.498,356.41,391.538,358.681,391.471,359.3,391.091,0.893,0.875,0.796,0.884,0.855,0.835,1,1,1,1
0.855,1789,1789,1789,1789,87.072,378.266,87.138,378.482,89.923,382.822,95.374,385.226,0.769,0.932,0.864,0.85,0.855,0.898,0,0,0,0
0.855,3304,3304,3304,3304,284.924,273.863,286.031,265.68,280.18,261.954,282.283,261.653,0.78,0.837,0.948,0.809,0.855,0.893,0,0,0,0
0.855,5574,5574,5574,5574,378.0,444.569,377.049,443.212,377.024,443.18,377.024,443.18,0.932,0.789,0.844,0.86,0.855,0.816,0,0,0,0
