full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.616,195,195,195,195,387.563,471.033,387.326,470.675,387.326,470.675,387.326,470.675,0.433,0.746,0.67,0.589,0.616,0.708,0,0,0,0
0.673,197,197,197,197,431.54,310.833,431.953,309.166,432.675,307.252,432.672,307.139,0.554,0.7,0.764,0.627,0.673,0.732,0,0,0,0
0.852,198,198,198,198,324.641,109.758,315.855,110.469,309.757,130.358,304.418,125.699,0.868,0.812,0.875,0.84,0.852,0.843,2,2,2,2
0.599,199,199,199,199,205.24,124.709,210.514,116.305,197.295,124.527,184.697,101.213,0.669,0.605,0.522,0.637,0.599,0.564,0,0,0,0
0.673,200,200,200,200,470.413,423.618,470.413,423.618,470.413,423.618,470.413,423.618,0.593,0.75,0.675,0.672,0.673,0.713,0,0,0,0
0.793,201,201,201,201,19.329,146.598,19.059,146.441,20.103,144.805,18.472,143.45,0.863,0.731,0.785,0.797,0.793,0.758,0,0,0,0
0.548,202,202,202,202,82.095,289.498,85.154,281.899,93.753,276.253,104.224,278.507,0.48,0.484,0.679,0.482,0.548,0.581,0,0,0,0
0.727,203,203,203,203,358.936,319.278,356.171,321.529,352.957,324.277,349.525,325.487,0.672,0.695,0.812,0.684,0.727,0.754,1,1,1,1
0.597,204,204,204,204,79.727,41.024,77.119,38.701,78.44,37.659,78.707,39.734,0.655,0.502,0.634,0.578,0.597,0.568,0,0,0,0
0.713,205,205,205,205,402.138,363.625,400.454,363.616,398.977,362.833,401.572,363.553,0.894,0.71,0.536,0.802,0.713,0.623,0,0,0,0
0.69,206,206,206,206,189.954,438.881,195.467,425.5,196.846,419.837,192.247,411.603,0.614,0.732,0.724,0.673,0.69,0.728,1,1,1,1
0.682,207,207,207,207,349.708,299.57,353.946,292.07,345.55,292.413,339.746,282.394,0.747,0.621,0.678,0.684,0.682,0.649,1,1,1,1
0.679,208,208,208,208,113.4,345.338,118.89,344.603,129.065,339.74,132.774,347.139,0.64,0.648,0.748,0.644,0.679,0.698,0,0,0,0
0.529,209,209,209,209,195.44,230.292,181.27,187.196,238.052,219.587,264.345,223.844,0.494,0.434,0.658,0.464,0.529,0.546,0,0,0,0
